,Unnamed: 0,Unnamed: 0.1,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
171,12375,17985,12288672,JE136063,02/08/2021 02:40:00 PM,038XX W LAKE ST,0560,ASSAULT,SIMPLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1122,11,28.0,26,08A,1150773.0,1901371.0,2021,02/15/2021 03:50:56 PM,41.885257161,-87.72179334100001,"(41.885257161, -87.721793341)"
172,32252,46971,12335908,JE194104,04/08/2021 09:00:00 PM,033XX W CARROLL AVE,0560,ASSAULT,SIMPLE,OTHER (SPECIFY),False,False,1123,11,28.0,27,08A,1154031.0,1902203.0,2021,04/15/2021 05:38:17 PM,41.887475918,-87.709807121,"(41.887475918, -87.709807121)"
179,5492,8222,12272480,JE116049,01/18/2021 08:42:00 AM,030XX N HALSTED ST,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,False,False,1933,19,44.0,6,04A,1170401.0,1920336.0,2021,01/25/2021 03:48:31 PM,41.936891721,-87.649160543,"(41.936891721, -87.649160543)"
190,17691,25620,12301279,JE152270,02/25/2021 05:48:00 PM,040XX S MAPLEWOOD AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,False,False,921,9,12.0,58,06,1160027.0,1877869.0,2021,03/04/2021 03:52:04 PM,41.820579224,-87.688459065,"(41.820579224, -87.688459065)"
197,541,790,12262452,JE104653,01/06/2021 01:45:00 AM,014XX S HARDING AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,APARTMENT,False,True,1011,10,24.0,29,04A,1150282.0,1892737.0,2021,01/16/2021 03:49:23 PM,41.861574074,-87.723821536,"(41.861574074, -87.723821536)"
202,26833,38984,12324729,JE180318,03/22/2021 09:00:00 AM,081XX S KINGSTON AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,False,False,422,4,7.0,46,11,1194593.0,1851490.0,2021,03/30/2021 04:49:43 PM,41.747411706,-87.56252421,"(41.747411706, -87.56252421)"
209,6982,10389,12278954,JE120563,01/22/2021 02:55:00 PM,019XX N LAMON AVE,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,STREET,False,True,2533,25,36.0,19,04B,1143172.0,1912616.0,2021,01/29/2021 03:46:26 PM,41.916259961,-87.749424803,"(41.916259961, -87.749424803)"
215,12311,17884,12289148,JE136622,02/08/2021 10:00:00 PM,078XX S INGLESIDE AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,624,6,8.0,69,06,1183921.0,1853247.0,2021,02/15/2021 03:50:56 PM,41.752488785,-87.60157420899999,"(41.752488785, -87.601574209)"
222,26578,38619,12324639,JE176108,03/20/2021 10:15:00 AM,069XX N GREENVIEW AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,2431,24,49.0,1,14,1165120.0,1945911.0,2021,03/30/2021 04:49:43 PM,42.007184463,-87.66783872399999,"(42.007184463, -87.667838724)"
225,1055,1552,12267533,JE110498,01/08/2021 04:00:00 PM,049XX S KOMENSKY AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,False,False,815,8,14.0,57,06,1150199.0,1871523.0,2021,01/16/2021 03:49:23 PM,41.803361645,-87.72467797799999,"(41.803361645, -87.724677978)"
226,17474,25319,12300997,JE151796,02/25/2021 10:36:00 AM,091XX S COMMERCIAL AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,False,False,423,4,10.0,46,06,1197734.0,1844871.0,2021,03/04/2021 03:52:04 PM,41.729170867,-87.551235346,"(41.729170867, -87.551235346)"
252,3582,5415,12268398,JE110668,01/12/2021 12:30:00 PM,007XX N KEDZIE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,VACANT LOT / LAND,False,True,1121,11,27.0,23,14,1154907.0,1904755.0,2021,01/19/2021 03:53:51 PM,41.89446134,-87.70652170700001,"(41.89446134, -87.706521707)"
272,33736,49161,12341808,JE198625,04/13/2021 06:50:00 PM,077XX S ABERDEEN ST,041A,BATTERY,AGGRAVATED - HANDGUN,SIDEWALK,False,False,612,6,17.0,71,04B,1170322.0,1853584.0,2021,04/20/2021 04:49:35 PM,41.753720143,-87.65139884,"(41.753720143, -87.65139884)"
280,30186,43891,12330690,JE187713,04/02/2021 09:00:00 PM,023XX S WESTERN AVE,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,STREET,False,False,1034,10,25.0,31,04B,1160741.0,1888245.0,2021,04/09/2021 05:06:35 PM,41.849037394,-87.68555272,"(41.849037394, -87.68555272)"
283,13707,19903,12291677,JE139899,02/12/2021 03:22:00 PM,004XX W 95TH ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,2223,22,21.0,73,06,1175057.0,1841910.0,2021,02/19/2021 03:48:53 PM,41.721580876,-87.63439422799999,"(41.721580876, -87.634394228)"
286,3900,5877,12268920,JE111308,01/13/2021 06:00:00 AM,004XX W ENGLEWOOD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,711,7,20.0,68,08B,1174437.0,1863495.0,2021,01/20/2021 03:53:42 PM,41.780826586,-87.636024405,"(41.780826586, -87.636024405)"
289,26701,38791,12322575,JE177832,03/23/2021 09:06:00 PM,099XX S TORRENCE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,True,431,4,10.0,51,08B,1195452.0,1839606.0,2021,03/30/2021 04:51:43 PM,41.714779822,-87.559768015,"(41.714779822, -87.559768015)"
292,30406,44219,12331083,JE188133,04/03/2021 12:00:00 PM,055XX W HIRSCH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,2532,25,37.0,25,08B,1138994.0,1908765.0,2021,04/14/2021 05:49:39 PM,41.905769403,-87.76486857200001,"(41.905769403, -87.764868572)"
351,32482,47314,12336023,JE194322,04/09/2021 11:38:00 AM,039XX W GLADYS AVE,0460,BATTERY,SIMPLE,STREET,True,False,1132,11,28.0,26,08B,1150091.0,1898062.0,2021,04/16/2021 05:26:56 PM,41.87619021,-87.724384004,"(41.87619021, -87.724384004)"
357,27468,39937,12324989,JE180690,03/25/2021 03:30:00 PM,089XX S PHILLIPS AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,423,4,7.0,48,14,1194054.0,1846115.0,2021,04/01/2021 05:04:48 PM,41.732675479,-87.56467514,"(41.732675479, -87.56467514)"
368,23377,33987,12314384,JE167833,03/13/2021 02:00:00 AM,022XX W 81ST ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,835,8,18.0,70,14,1162921.0,1850911.0,2021,03/20/2021 04:52:03 PM,41.74654281,-87.678595532,"(41.74654281, -87.678595532)"
383,10159,14810,12282480,JE128100,01/31/2021 01:59:00 AM,075XX S COLES AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,421,4,7.0,43,08B,1195968.0,1855581.0,2021,02/07/2021 03:46:17 PM,41.758603804,-87.557350716,"(41.758603804, -87.557350716)"
386,4272,6414,12269719,JE112945,01/14/2021 07:53:00 PM,074XX S KINGSTON AVE,041A,BATTERY,AGGRAVATED - HANDGUN,RESIDENCE - PORCH / HALLWAY,False,False,334,3,7.0,43,04B,1194381.0,1855945.0,2021,01/21/2021 03:51:43 PM,41.759641783,-87.56315489,"(41.759641783, -87.56315489)"
388,24059,34979,12316092,JE169856,03/15/2021 05:00:00 PM,060XX S INDIANA AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,True,311,3,20.0,40,14,1178630.0,1865109.0,2021,03/22/2021 04:53:29 PM,41.785161229,-87.620603115,"(41.785161229, -87.620603115)"
394,1636,2433,12258710,JE100140,01/01/2021 01:00:00 AM,086XX S PAULINA ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,True,614,6,21.0,71,08B,1166514.0,1847453.0,2021,01/16/2021 03:49:23 PM,41.736977778,-87.665528209,"(41.736977778, -87.665528209)"
395,3114,4708,12270034,JE113316,01/09/2021 12:00:00 PM,004XX W 63RD ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,711,7,20.0,68,11,1174491.0,1863157.0,2021,01/20/2021 03:51:20 PM,41.779897875,-87.63583648299999,"(41.779897875, -87.635836483)"
406,17304,25078,12304420,JE155419,02/28/2021 09:00:00 AM,033XX W MAYPOLE AVE,0820,THEFT,$500 AND UNDER,APARTMENT,False,False,1123,11,28.0,27,06,1154061.0,1900783.0,2021,03/07/2021 03:52:28 PM,41.883578698,-87.709734846,"(41.883578698, -87.709734846)"
423,33569,48900,12338899,JE197783,04/12/2021 11:15:00 PM,065XX S UNION AVE,0530,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,RESIDENCE,False,True,723,7,20.0,68,04A,1172634.0,1861505.0,2021,04/19/2021 05:20:48 PM,41.775405729,-87.64269312200001,"(41.775405729, -87.642693122)"
441,34164,49793,12341067,JE200435,04/14/2021 08:15:00 PM,035XX S RHODES AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,CHA PARKING LOT / GROUNDS,False,False,212,2,4.0,35,14,1180162.0,1881716.0,2021,04/21/2021 04:52:37 PM,41.830697249,-87.61447689100001,"(41.830697249, -87.614476891)"
443,20988,30445,12308968,JE161402,03/06/2021 11:05:00 PM,015XX N LUNA AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,2532,25,37.0,25,08B,1139055.0,1909617.0,2021,03/13/2021 03:51:08 PM,41.908106281,-87.76462374399999,"(41.908106281, -87.764623744)"
452,27439,39898,12328181,JE184214,03/04/2021 11:32:00 AM,016XX W FARWELL AVE,0820,THEFT,$500 AND UNDER,RESIDENCE - PORCH / HALLWAY,False,False,2431,24,49.0,1,06,1164003.0,1945684.0,2021,04/01/2021 05:01:37 PM,42.006585323,-87.671954809,"(42.006585323, -87.671954809)"
464,1970,2953,12260456,JE102037,01/03/2021 11:20:00 AM,014XX W 119TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,True,524,5,34.0,53,14,1169008.0,1825836.0,2021,01/16/2021 03:49:23 PM,41.677603869,-87.657012954,"(41.677603869, -87.657012954)"
465,21956,31895,12315299,JE168724,03/09/2021 12:00:00 AM,126XX S Michigan Ave,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER (SPECIFY),False,False,532,5,9.0,53,11,1179164.0,1821012.0,2021,03/16/2021 04:52:52 PM,41.664141305,-87.619985031,"(41.664141305, -87.619985031)"
473,8863,13040,12279999,JE124294,01/27/2021 02:40:00 AM,067XX S OGLESBY AVE,0810,THEFT,OVER $500,APARTMENT,False,True,331,3,5.0,43,06,1192924.0,1860831.0,2021,02/03/2021 03:58:22 PM,41.773085006,-87.568335406,"(41.773085006, -87.568335406)"
480,28415,41338,12329380,JE182269,03/28/2021 01:00:00 PM,014XX W 78TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,612,6,17.0,71,08B,1168149.0,1853026.0,2021,04/04/2021 05:01:16 PM,41.752235903,-87.65937814200001,"(41.752235903, -87.659378142)"
487,22431,32605,12311590,JE164422,03/10/2021 12:34:00 AM,059XX S ROCKWELL ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,False,True,824,8,16.0,66,08B,1160058.0,1865157.0,2021,03/17/2021 04:51:25 PM,41.785695223000005,-87.688695094,"(41.785695223, -87.688695094)"
490,11141,16198,12288779,JE136162,02/02/2021 08:00:00 AM,104XX S MARYLAND AVE,0820,THEFT,$500 AND UNDER,APARTMENT,False,False,512,5,9.0,50,06,1183754.0,1835842.0,2021,02/10/2021 03:46:37 PM,41.704731364,-87.602727555,"(41.704731364, -87.602727555)"
504,22383,32529,12312425,JE165467,03/10/2021 11:15:00 PM,026XX N KEDZIE AVE,041A,BATTERY,AGGRAVATED - HANDGUN,STREET,False,False,1411,14,32.0,22,04B,1154582.0,1917562.0,2021,03/17/2021 04:51:25 PM,41.929611364,-87.707372063,"(41.929611364, -87.707372063)"
506,1498,2222,12265840,JE108624,01/09/2021 05:00:00 PM,049XX W WAVELAND AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE - GARAGE,False,False,1634,16,30.0,15,14,1142796.0,1924148.0,2021,01/16/2021 03:52:53 PM,41.947911924,-87.750518218,"(41.947911924, -87.750518218)"
516,23989,34886,12315497,JE169220,03/15/2021 02:55:00 AM,074XX S DR MARTIN LUTHER KING JR DR,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,False,False,323,3,6.0,69,04A,1180196.0,1855770.0,2021,03/22/2021 04:53:29 PM,41.759498301,-87.61514745299999,"(41.759498301, -87.615147453)"
533,33791,49240,12341316,JE200646,02/21/2021 08:00:00 PM,102XX S SANGAMON ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,2232,22,34.0,73,14,1171790.0,1836903.0,2021,04/20/2021 04:47:09 PM,41.707913093,-87.646506934,"(41.707913093, -87.646506934)"
534,10132,14770,12282594,JE127658,01/30/2021 02:05:00 PM,048XX S DREXEL BLVD,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,True,222,2,4.0,39,14,1183133.0,1873130.0,2021,02/06/2021 03:52:06 PM,41.807067906,-87.60384374700001,"(41.807067906, -87.603843747)"
540,18733,27100,12304529,JE156050,03/01/2021 02:30:00 PM,075XX S RHODES AVE,0460,BATTERY,SIMPLE,SIDEWALK,True,False,624,6,6.0,69,08B,1181212.0,1855056.0,2021,03/08/2021 03:55:51 PM,41.757515673,-87.61144582899999,"(41.757515673, -87.611445829)"
543,20328,29459,12307773,JE158680,03/04/2021 07:30:00 AM,101XX S LA SALLE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE,False,True,511,5,9.0,49,14,1177059.0,1837738.0,2021,03/11/2021 03:47:23 PM,41.710087505,-87.62718663,"(41.710087505, -87.62718663)"
545,6037,9033,12273627,JE117575,01/19/2021 09:45:00 PM,020XX N LINCOLN AVE,0560,ASSAULT,SIMPLE,ALLEY,False,False,1812,18,43.0,7,08A,1173031.0,1913820.0,2021,01/26/2021 03:51:22 PM,41.918953545,-87.639688741,"(41.918953545, -87.639688741)"
553,16259,23579,12299200,JE149610,02/22/2021 10:45:00 AM,043XX N HAZEL ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,False,False,1915,19,46.0,3,11,1169474.0,1929168.0,2021,03/01/2021 03:46:28 PM,41.96114732,-87.652309461,"(41.96114732, -87.652309461)"
555,28450,41381,12326481,JE182589,03/28/2021 09:30:00 AM,013XX W 80TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,612,6,21.0,71,14,1168967.0,1851721.0,2021,04/04/2021 05:01:16 PM,41.748637183,-87.656418152,"(41.748637183, -87.656418152)"
563,18373,26579,12302430,JE153598,02/27/2021 12:00:00 AM,041XX W ADAMS ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1115,11,28.0,26,08B,1148839.0,1898690.0,2021,03/06/2021 03:50:24 PM,41.877937797,-87.728964722,"(41.877937797, -87.728964722)"
569,23908,34763,12315414,JE169166,03/15/2021 12:40:00 AM,015XX W GARFIELD BLVD,0460,BATTERY,SIMPLE,APARTMENT,False,False,713,7,16.0,67,08B,1167107.0,1868122.0,2021,03/22/2021 04:53:29 PM,41.793683609,-87.66276528600001,"(41.793683609, -87.662765286)"
586,22525,32757,12312840,JE165536,03/11/2021 03:00:00 AM,079XX S ESSEX AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,422,4,7.0,46,08B,1194236.0,1852711.0,2021,03/18/2021 04:52:21 PM,41.750770997,-87.56379232,"(41.750770997, -87.56379232)"
600,18459,26696,12304690,JE155810,02/27/2021 08:18:00 PM,079XX S CICERO AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,False,False,834,8,18.0,70,06,1145805.0,1851340.0,2021,03/06/2021 03:50:24 PM,41.748060338,-87.74130270200001,"(41.748060338, -87.741302702)"
607,1168,1717,12264345,JE106623,01/08/2021 06:24:00 AM,044XX S SHIELDS AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,925,9,3.0,37,14,1174711.0,1875684.0,2021,01/16/2021 03:49:23 PM,41.814268332,-87.63465666299999,"(41.814268332, -87.634656663)"
619,16747,24286,12300380,JE150928,02/23/2021 11:30:00 PM,059XX S ASHLAND AVE,0810,THEFT,OVER $500,AUTO / BOAT / RV DEALERSHIP,False,False,714,7,16.0,67,06,1166691.0,1865243.0,2021,03/02/2021 03:50:05 PM,41.785792177,-87.66437287299999,"(41.785792177, -87.664372873)"
653,3136,4739,12269428,JE112693,01/11/2021 09:30:00 AM,001XX W POLK ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,False,False,123,1,2.0,32,11,1174998.0,1896784.0,2021,01/18/2021 04:01:40 PM,41.872161976,-87.632972778,"(41.872161976, -87.632972778)"
656,4191,6299,12269705,JE112948,01/14/2021 06:40:00 PM,103XX S AVENUE N,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE - YARD (FRONT / BACK),False,False,432,4,10.0,52,14,1201170.0,1836970.0,2021,01/21/2021 03:51:43 PM,41.707403538,-87.53891579399999,"(41.707403538, -87.538915794)"
660,16768,24315,12301845,JE149875,02/23/2021 12:46:00 PM,044XX S COTTAGE GROVE AVE,0560,ASSAULT,SIMPLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,221,2,4.0,39,08A,1182339.0,1875765.0,2021,03/02/2021 03:50:05 PM,41.814317008,-87.60667414299999,"(41.814317008, -87.606674143)"
661,17796,25780,12303556,JE154971,02/26/2021 06:00:00 PM,009XX E 87TH ST,0820,THEFT,$500 AND UNDER,STREET,False,False,632,6,8.0,44,06,1183829.0,1847487.0,2021,03/05/2021 03:49:32 PM,41.736684877,-87.602090719,"(41.736684877, -87.602090719)"
671,24325,35365,12316997,JE171082,03/16/2021 10:00:00 PM,020XX S MICHIGAN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,131,1,3.0,33,08B,1177530.0,1890539.0,2021,03/23/2021 05:03:34 PM,41.854968236,-87.623866311,"(41.854968236, -87.623866311)"
673,14060,20415,12293061,JE141766,02/14/2021 05:15:00 PM,001XX N WELLS ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,122,1,42.0,32,06,1174701.0,1901579.0,2021,02/21/2021 03:48:47 PM,41.885326396,-87.63391971799999,"(41.885326396, -87.633919718)"
686,12139,17626,12288242,JE135450,02/07/2021 05:00:00 PM,073XX S MOZART ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,835,8,18.0,66,08B,1158645.0,1855859.0,2021,02/14/2021 03:47:33 PM,41.760209108000005,-87.69412923,"(41.760209108, -87.69412923)"
692,18614,26916,12304092,JE155536,03/01/2021 02:12:00 AM,079XX S LAFLIN ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,612,6,21.0,71,08B,1167719.0,1851939.0,2021,03/08/2021 03:55:51 PM,41.749262257,-87.660985035,"(41.749262257, -87.660985035)"
718,12790,18606,12290259,JE138088,02/10/2021 04:40:00 PM,008XX N CENTRAL PARK AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1112,11,27.0,23,08B,1152230.0,1905368.0,2021,02/19/2021 03:45:56 PM,41.896196718,-87.71633740200001,"(41.896196718, -87.716337402)"
728,28320,41190,12326619,JE181947,03/28/2021 01:30:00 AM,086XX S MAY ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,613,6,21.0,71,08B,1170164.0,1847483.0,2021,04/04/2021 05:01:16 PM,41.736981604,-87.652154844,"(41.736981604, -87.652154844)"
732,482,701,12266169,JE109056,01/07/2021 11:00:00 AM,023XX E 70TH PL,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,331,3,5.0,43,11,1192853.0,1858663.0,2021,01/16/2021 03:49:23 PM,41.767137587,-87.568666327,"(41.767137587, -87.568666327)"
734,27106,39385,12323446,JE178855,03/24/2021 09:30:00 PM,029XX N CLARK ST,0810,THEFT,OVER $500,STREET,False,False,1934,19,44.0,6,06,1171082.0,1919656.0,2021,03/31/2021 04:59:47 PM,41.935010832,-87.64667781,"(41.935010832, -87.64667781)"
754,12088,17558,12289603,JE136762,02/07/2021 10:10:00 AM,046XX S CALUMET AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER (SPECIFY),False,False,215,2,3.0,38,11,1179214.0,1874306.0,2021,02/14/2021 03:47:33 PM,41.810385331,-87.618181396,"(41.810385331, -87.618181396)"
758,26902,39095,12322462,JE177511,03/23/2021 01:53:00 PM,076XX S MARSHFIELD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,611,6,17.0,71,08B,1166670.0,1854025.0,2021,03/30/2021 04:51:43 PM,41.755008962,-87.66476959399999,"(41.755008962, -87.664769594)"
763,4594,6891,12270927,JE114404,01/15/2021 10:00:00 PM,096XX S DR MARTIN LUTHER KING JR DR,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,False,False,511,5,9.0,49,06,1180610.0,1841146.0,2021,01/22/2021 03:48:10 PM,41.719358847,-87.61407811,"(41.719358847, -87.61407811)"
767,6118,9146,12273535,JE117123,01/19/2021 11:30:00 AM,008XX W 97TH ST,0810,THEFT,OVER $500,STREET,False,False,2223,22,21.0,73,06,1172440.0,1840442.0,2021,01/26/2021 03:51:22 PM,41.717610378,-87.64402285700001,"(41.717610378, -87.644022857)"
798,17372,25176,12304579,JE156104,02/25/2021 12:00:00 PM,083XX S COTTAGE GROVE AVE,0820,THEFT,$500 AND UNDER,APARTMENT,False,False,632,6,6.0,44,06,1183009.0,1849965.0,2021,03/04/2021 03:52:04 PM,41.743503863,-87.60501807,"(41.743503863, -87.60501807)"
804,28105,40870,12325700,JE181639,03/27/2021 06:22:00 PM,013XX N ASHLAND AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,1433,14,1.0,24,06,1165485.0,1908868.0,2021,04/03/2021 05:04:00 PM,41.905529073,-87.66755465600001,"(41.905529073, -87.667554656)"
823,5537,8296,12272615,JE116402,01/18/2021 04:00:00 PM,039XX W 47TH ST,0560,ASSAULT,SIMPLE,DEPARTMENT STORE,False,False,821,8,14.0,57,08A,1150702.0,1873176.0,2021,01/25/2021 03:48:31 PM,41.807887928,-87.72279014799999,"(41.807887928, -87.722790148)"
826,15171,22036,12299137,JE148671,02/18/2021 12:01:00 AM,057XX N KARLOV AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,1711,17,39.0,13,06,1148034.0,1937552.0,2021,02/25/2021 03:51:59 PM,41.984594122,-87.730917921,"(41.984594122, -87.730917921)"
834,15671,22724,12301332,JE150935,02/18/2021 09:30:00 PM,014XX W LEXINGTON ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,False,False,1231,12,28.0,28,11,1166929.0,1896848.0,2021,02/27/2021 03:44:15 PM,41.872514439,-87.66259551200001,"(41.872514439, -87.662595512)"
836,24964,36290,12322105,JE165455,03/10/2021 11:31:00 PM,055XX S PRAIRIE AVE,041A,BATTERY,AGGRAVATED - HANDGUN,STREET,False,False,231,2,20.0,40,04B,1178988.0,1868183.0,2021,03/25/2021 04:52:53 PM,41.793588428,-87.61919692299999,"(41.793588428, -87.619196923)"
851,4649,6963,12269839,JE113096,01/15/2021 12:02:00 AM,001XX E HURON ST,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,HOTEL / MOTEL,False,True,1834,18,42.0,8,04A,1177499.0,1905109.0,2021,01/22/2021 03:48:10 PM,41.894949856,-87.62353785,"(41.894949856, -87.62353785)"
